Geopotential_Altitude_ft,Geometric_Altitude_ft,Pressure_Altitude_ft,Temperature_F,Temperature_R,Temperature_C,Temperature_K,Temperature_Ratio,Pressure_inHg,Pressure_PSF,Pressure_Ratio,Density_slug_ft3,Density_Ratio,Speed_of_Sound_FPS,Speed of Sound_kts,Q_M2_PSF,Absolute_Viscosity_lbsec_ft2
14797,14807,14000,35.42,495.09,1.9,275.05,0.9545,17.5773,1243.18,5.875E-01,1.463E-03,6.154E-01,1090.8,646.3,870.2,3.608E-07
15852,15864,15000,31.64,491.31,-0.2,272.95,0.9472,16.8858,1194.27,5.643E-01,1.416E-03,5.958E-01,1086.6,643.8,836,3.586E-07
16907,16921,16000,27.68,487.35,-2.4,270.75,0.9396,16.2164,1146.93,5.420E-01,1.371E-03,5.768E-01,1082.2,641.2,802.8,3.563E-07
17962,17977,17000,23.9,483.57,-4.5,268.65,0.9323,15.5687,1101.12,5.203E-01,1.327E-03,5.581E-01,1078,638.7,770.8,3.540E-07
19016,19033,18000,19.94,479.61,-6.7,266.45,0.9247,14.9421,1056.8,4.994E-01,1.284E-03,5.400E-01,1073.6,636.1,739.8,3.517E-07
20071,20090,19000,16.16,475.83,-8.8,264.35,0.9174,14.336,1013.94,4.791E-01,1.241E-03,5.223E-01,1069.3,633.6,709.7,3.494E-07
21125,21146,20000,12.2,471.87,-11,262.15,0.9098,13.7501,972.49,4.595E-01,1.201E-03,5.051E-01,1064.9,630.9,680.7,3.471E-07
22179,22203,21000,8.42,468.09,-13.1,260.05,0.9025,13.1836,932.43,4.406E-01,1.160E-03,4.882E-01,1060.6,628.4,652.7,3.448E-07
23233,23259,22000,4.46,464.13,-15.3,257.85,0.8948,12.6362,893.72,4.223E-01,1.122E-03,4.719E-01,1056.1,625.7,625.6,3.424E-07
24286,24314,23000,0.68,460.35,-17.4,255.75,0.8876,12.1074,856.31,4.046E-01,1.084E-03,4.559E-01,1051.8,623.2,599.4,3.401E-07
25339,25370,24000,-3.1,456.57,-19.5,253.65,0.8803,11.5967,820.19,3.876E-01,1.047E-03,4.403E-01,1047.5,620.6,574.1,3.378E-07
26392,26425,25000,-7.06,452.61,-21.7,251.45,0.8726,11.1035,785.31,3.711E-01,1.011E-03,4.253E-01,1042.9,617.9,549.7,3.354E-07
27445,27481,26000,-10.84,448.83,-23.8,249.35,0.8653,10.6274,751.64,3.552E-01,9.756E-04,4.104E-01,1038.6,615.3,526.1,3.331E-07
28497,28536,27000,-14.8,444.87,-26,247.15,0.8577,10.168,719.15,3.398E-01,9.417E-04,3.962E-01,1034,612.6,503.4,3.307E-07
29550,29592,28000,-18.58,441.09,-28.1,245.05,0.8504,9.7249,687.8,3.250E-01,9.084E-04,3.822E-01,1029.6,610,481.5,3.284E-07
30062,30105,29000,-22.54,437.13,-30.3,242.85,0.8428,9.2974,657.57,3.107E-01,8.763E-04,3.687E-01,1024.9,607.3,460.3,3.259E-07
31653,31701,30000,-26.32,433.35,-32.4,240.75,0.8355,8.8854,628.43,2.970E-01,8.448E-04,3.554E-01,1020.5,604.6,439.9,3.236E-07
32705,32756,31000,-30.28,429.39,-34.6,238.55,0.8279,8.4882,600.34,2.837E-01,8.145E-04,3.427E-01,1015.8,601.9,420.2,3.211E-07
33756,33811,32000,-34.06,425.61,-36.7,236.45,0.8206,8.1056,573.28,2.709E-01,7.847E-04,3.301E-01,1011.3,599.2,401.3,3.187E-07
34807,34865,33000,-37.84,421.83,-38.8,234.35,0.8133,7.737,547.21,2.586E-01,7.557E-04,3.179E-01,1006.8,596.5,383,3.164E-07
35858,35920,34000,-41.8,417.87,-41,232.15,0.8057,7.3821,522.11,2.467E-01,7.279E-04,3.062E-01,1002.1,593.7,365.5,3.139E-07
36908,36973,35000,-45.58,414.09,-43.1,230.05,0.7984,7.0406,497.95,2.353E-01,7.005E-04,2.947E-01,997.6,591,348.6,3.115E-07
37958,38027,36000,-49.54,410.13,-45.3,227.85,0.7907,6.7119,474.71,2.243E-01,6.743E-04,2.837E-01,992.8,588.2,332.3,3.090E-07
39004,39077,37000,-53.32,406.35,-47.4,225.75,0.7834,6.397,452.43,2.138E-01,6.486E-04,2.729E-01,988.2,585.5,316.7,3.066E-07
40040,40117,38000,-57.1,402.57,-49.5,223.65,0.7762,6.0968,431.2,2.038E-01,6.240E-04,2.625E-01,983.6,582.8,301.8,3.041E-07
41067,41148,39000,-60.88,398.79,-51.6,221.55,0.7689,5.8107,410.97,1.942E-01,6.004E-04,2.526E-01,979,580,287.7,3.017E-07
42084,42169,40000,-64.66,395.01,-53.7,219.45,0.7616,5.538,391.68,1.851E-01,5.777E-04,2.430E-01,974.3,577.3,274.2,2.993E-07
43091,43180,41000,-68.26,391.41,-55.7,217.45,0.7546,5.2781,373.3,1.764E-01,5.556E-04,2.338E-01,969.9,574.6,261.3,2.969E-07
44089,44182,42000,-72.04,387.63,-57.8,215.35,0.7474,5.0304,355.78,1.681E-01,5.347E-04,2.250E-01,965.2,571.8,249,2.945E-07
45078,45175,43000,-75.64,384.03,-59.8,213.35,0.7404,4.7944,339.09,1.602E-01,5.144E-04,2.164E-01,960.7,569.2,237.4,2.921E-07
