Geopotential_Altitude_ft,Geometric_Altitude_ft,Pressure_Altitude_ft,Temperature_F,Temperature_R,Temperature_C,Temperature_K,Temperature_Ratio,Pressure_inHg,Pressure_PSF,Pressure_Ratio,Density_slug_ft3,Density_Ratio,Speed_of_Sound_FPS,Speed of Sound_kts,Q_M2_PSF,Absolute_Viscosity_lbsec_ft2
3000,3000,2999,48.3,507.97,9.06,282.21,0.9794,26.8166,1896.64,0.8962,2.175E-03,0.9151,1104.9,654.6,1327.6,3.677E-07
4000,4001,3998,44.74,504.41,7.08,280.23,0.9725,25.8418,1827.7,0.8637,2.111E-03,0.8881,1101,652.3,1279.4,3.657E-07
5000,5001,4998,41.17,500.84,5.09,278.24,0.9656,24.8959,1760.8,0.8320,2.048E-03,0.8617,1097.1,650,1232.5,3.636E-07
6000,6002,5998,37.6,497.27,3.11,276.26,0.9587,23.9782,1695.89,0.8014,1.987E-03,0.8359,1093.2,647.7,1187.1,3.616E-07
7000,7002,6997,34.04,493.71,1.13,274.28,0.9519,23.0881,1632.94,0.7716,1.927E-03,0.8106,1089.2,645.4,1143,3.596E-07
8000,8003,7997,30.47,490.14,-0.85,272.3,0.945,22.2249,1571.89,0.7428,1.868E-03,0.7860,1085.3,643,1100.3,3.575E-07
9000,9004,8996,26.9,486.57,-2.83,270.32,0.9381,21.3881,1512.7,0.7148,1.811E-03,0.7620,1081.3,640.7,1058.9,3.555E-07
10000,10005,9996,23.34,483.01,-4.81,268.34,0.9312,20.5769,1455.33,0.6877,1.755E-03,0.7385,1077.4,638.3,1018.7,3.534E-07
11000,11006,10995,19.77,479.44,-6.79,266.36,0.9244,19.7909,1399.74,0.6614,1.701E-03,0.7156,1073.4,636,979.8,3.513E-07
12000,12007,11995,16.21,475.88,-8.77,264.38,0.9175,19.0293,1345.87,0.6360,1.648E-03,0.6932,1069.4,633.6,942.1,3.492E-07
13000,13008,12995,12.64,472.31,-10.76,262.39,0.9106,18.2917,1293.7,0.6113,1.596E-03,0.6713,1065.4,631.2,905.6,3.472E-07
14000,14009,13994,9.07,468.74,-12.74,260.41,0.9037,17.5773,1243.18,0.5875,1.545E-03,0.6500,1061.4,628.8,870.2,3.451E-07
15000,15011,14994,5.51,465.18,-14.72,258.43,0.8969,16.8858,1194.27,0.5643,1.496E-03,0.6292,1057.3,626.4,836,3.430E-07
16000,16012,15993,1.94,461.61,-16.7,256.45,0.89,16.2164,1146.93,0.5420,1.447E-03,0.6090,1053.2,624,802.8,3.409E-07
17000,17014,16993,-1.62,458.05,-18.68,254.47,0.8831,15.5687,1101.12,0.5203,1.400E-03,0.5892,1049.2,621.6,770.8,3.387E-07
18000,18016,17993,-5.19,454.48,-20.66,252.49,0.8762,14.9421,1056.8,0.4994,1.355E-03,0.5699,1045.1,619.2,739.8,3.366E-07
19000,19017,18992,-8.76,450.91,-22.64,250.51,0.8694,14.336,1013.94,0.4791,1.310E-03,0.5511,1041,616.8,709.7,3.345E-07
20000,20019,19992,-12.32,447.35,-24.62,248.53,0.8625,13.7501,972.49,0.4595,1.266E-03,0.5328,1036.8,614.3,680.7,3.324E-07
21000,21021,20991,-15.89,443.78,-26.61,246.54,0.8556,13.1836,932.43,0.4406,1.224E-03,0.5150,1032.7,611.9,652.7,3.302E-07
22000,22023,21991,-19.46,440.21,-28.59,244.56,0.8487,12.6362,893.72,0.4223,1.183E-03,0.4976,1028.5,609.4,625.6,3.281E-07
23000,23025,22990,-23.02,436.65,-30.57,242.58,0.8419,12.1074,856.31,0.4046,1.142E-03,0.4807,1024.4,606.9,599.4,3.259E-07
24000,24028,23990,-26.59,433.08,-32.55,240.6,0.835,11.5967,820.19,0.3876,1.103E-03,0.4642,1020.2,604.4,574.1,3.237E-07
25000,25030,24990,-30.15,429.52,-34.53,238.62,0.8281,11.1035,785.31,0.3711,1.065E-03,0.4481,1016,601.9,549.7,3.216E-07
26000,26032,25989,-33.72,425.95,-36.51,236.64,0.8212,10.6274,751.64,0.3552,1.028E-03,0.4325,1011.7,599.4,526.1,3.194E-07
27000,27035,26989,-37.29,422.38,-38.49,234.66,0.8144,10.168,719.15,0.3398,9.919E-04,0.4173,1007.5,596.9,503.4,3.172E-07
28000,28038,27988,-40.85,418.82,-40.47,232.68,0.8075,9.7249,687.8,0.3250,9.567E-04,0.4025,1003.2,594.4,481.5,3.150E-07
29000,29040,28988,-44.42,415.25,-42.45,230.7,0.8006,9.2974,657.57,0.3107,9.225E-04,0.3881,999,591.9,460.3,3.128E-07
30000,30043,29987,-47.98,411.69,-44.44,228.71,0.7937,8.8854,628.43,0.2970,8.893E-04,0.3741,994.7,589.3,439.9,3.106E-07
31000,31046,30987,-51.55,408.12,-46.42,226.73,0.7869,8.4882,600.34,0.2837,8.569E-04,0.3605,990.3,586.8,420.2,3.083E-07
32000,32049,31987,-55.12,404.55,-48.4,224.75,0.78,8.1056,573.28,0.2709,8.255E-04,0.3473,986,584.2,401.3,3.061E-07
33000,33052,32986,-58.68,400.99,-50.38,222.77,0.7731,7.737,547.21,0.2586,7.950E-04,0.3345,981.6,581.6,383,3.039E-07
34000,34055,33986,-62.25,397.42,-52.36,220.79,0.7662,7.3821,522.11,0.2467,7.653E-04,0.3220,977.3,579,365.5,3.016E-07
35000,35059,34985,-65.82,393.85,-54.34,218.81,0.7594,7.0406,497.95,0.2353,7.365E-04,0.3099,972.9,576.4,348.6,2.993E-07
36000,36062,35985,-69.38,390.29,-56.32,216.83,0.7525,6.7119,474.71,0.2243,7.086E-04,0.2981,968.5,573.8,332.3,2.971E-07
36089,36151,36074,-69.7,389.97,-56.5,216.65,0.7519,6.6833,472.68,0.2234,7.061E-04,0.2971,968.1,573.6,330.9,2.969E-07
